name,short_name,field
CELLNET GROUP LIMITED,CLT,Technology Hardware & Equipment
CELSIUS RESOURCES LIMITED.,CLA,Materials
CENTAURUS METALS LIMITED,CTM,Materials
CENTRAL PETROLEUM LIMITED,CTP,Energy
CENTREPOINT ALLIANCE LIMITED,CAF,Diversified Financials
CENTREX METALS LIMITED,CXM,Materials
CENTURIA CAPITAL GROUP,CNI,Diversified Financials
CENTURIA INDUSTRIAL REIT,CIP,Real Estate
CENTURIA OFFICE REIT,COF,Real Estate
CERVANTES CORPORATION LIMITED,CVS,Materials
CFOAM LIMITED,CFO,Capital Goods
CHALICE GOLD MINES LIMITED,CHN,Materials
CHALLENGER EXPLORATION LIMITED,CEL,Energy
CHALLENGER LIMITED,CGF,Diversified Financials
CHALLENGER MILLENNIUM SERIES 2007-1E TRUST,CHJ,Not Applic
CHALLENGER MILLENNIUM SERIES 2007-2L TRUST,CHU,Not Applic
CHAMPION IRON LIMITED,CIA,Materials
CHANGE FINANCIAL LIMITED,CCA,Software & Services
CHARTER HALL GROUP,CHC,Real Estate
CHARTER HALL LONG WALE REIT,CLW,Real Estate
CHARTER HALL RETAIL REIT,CQR,Real Estate
CHARTER HALL SOCIAL INFRASTRUCTURE REIT,CQE,Real Estate
CHASE MINING CORPORATION LIMITED,CML,Materials
CHESSER RESOURCES LIMITED,CHZ,Materials
CHINA CONSTRUCTION BANK CORPORATION,CCB,Not Applic
CHINA MAGNESIUM CORPORATION LIMITED,CMC,Materials
CHONGHERR INVESTMENTS LTD,CDH,Materials
CHORUS LIMITED,CNU,Telecommunication Services
CI RESOURCES LIMITED,CII,Materials
CIMIC GROUP LIMITED,CIM,Capital Goods
CIPHERPOINT LIMITED,CPT,Software & Services
CIRRALTO LIMITED,CRO,Software & Services
CIRRUS NETWORKS HOLDINGS LIMITED,CNW,Software & Services
CITIGOLD CORPORATION LIMITED,CTO,Materials
CITY CHIC COLLECTIVE LIMITED,CCX,Retailing
CIVMEC LIMITED,CVL,Capital Goods
CLASS LIMITED,CL1,Software & Services
CLASSIC MINERALS LTD,CLZ,Materials
CLEAN SEAS SEAFOOD LIMITED,CSS,"Food, Beverage & Tobacco"
CLEAN TEQ HOLDINGS LIMITED,CLQ,Commercial & Professional Services
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY,Commercial & Professional Services
CLEARVIEW WEALTH LIMITED,CVW,Diversified Financials
CLEARVUE TECHNOLOGIES LIMITED,CPV,Capital Goods
CLIME CAPITAL LIMITED,CAM,Not Applic
CLIME INVESTMENT MANAGEMENT LTD,CIW,Diversified Financials
CLINUVEL PHARMACEUTICALS LIMITED,CUV,"Pharmaceuticals, Biotechnology & Life Sciences"
CLOVER CORPORATION LIMITED,CLV,Materials
CML GROUP LIMITED,CGR,Diversified Financials
COBALT BLUE HOLDINGS LIMITED,COB,Materials
COBRE LIMITED,CBE,Materials
COCA-COLA AMATIL LIMITED,CCL,"Food, Beverage & Tobacco"
COCHLEAR LIMITED,COH,Health Care Equipment & Services
CODAN LIMITED,CDA,Technology Hardware & Equipment
COGSTATE LTD,CGS,Health Care Equipment & Services
COHIBA MINERALS LIMITED,CHK,Materials
COKAL LIMITED,CKA,Materials
COLES GROUP LIMITED.,COL,Food & Staples Retailing
COLLABORATE CORPORATION LIMITED,CL8,Retailing
COLLECTION HOUSE LIMITED,CLH,Diversified Financials
COLLINS FOODS LIMITED,CKF,Consumer Services
COMET RESOURCES LIMITED,CRL,Materials
COMET RIDGE LIMITED,COI,Energy
COMMONWEALTH BANK OF AUSTRALIA.,CBA,Banks
COMMSCHOICE GROUP LIMITED,CCG,Software & Services
COMPUMEDICS LIMITED,CMP,Health Care Equipment & Services
COMPUTERSHARE LIMITED.,CPU,Software & Services
CONCENTRATED LEADERS FUND LIMITED,CLF,Not Applic
CONICO LTD,CNJ,Materials
CONNECTED IO LIMITED,CIO,Technology Hardware & Equipment
CONNEXION TELEMATICS LTD,CXZ,Software & Services
CONSOLIDATED FINANCIAL HOLDINGS LIMITED,CWL,Software & Services
CONSOLIDATED OPERATIONS GROUP LIMITED,COG,Diversified Financials
CONSOLIDATED TIN MINES LIMITED,CSD,Materials
CONSOLIDATED ZINC LIMITED,CZL,Materials
CONSTELLATION RESOURCES LIMITED,CR1,Materials
CONSTELLATION TECHNOLOGIES LIMITED,CT1,Technology Hardware & Equipment
CONTACT ENERGY LIMITED,CEN,Utilities
CONTANGO ASSET MANAGEMENT LIMITED,CGA,Diversified Financials
CONTANGO INCOME GENERATOR  LIMITED,CIE,Not Applic
CONTRARIAN VALUE FUND LIMITED,CVF,Not Applic
COOPER ENERGY LIMITED,COE,Energy
COPPER MOUNTAIN MINING CORPORATION,C6C,Materials
COPPER STRIKE LIMITED,CSE,Materials
COPPERMOLY LIMITED,COY,Materials
CORAZON MINING LIMITED,CZN,Materials
CORDISH DIXON PRIVATE EQUITY FUND I,CD1,Not Applic
CORDISH DIXON PRIVATE EQUITY FUND II,CD2,Not Applic
CORDISH DIXON PRIVATE EQUITY FUND III,CD3,Not Applic
CORE LITHIUM LTD,CXO,Materials
CORONADO GLOBAL RESOURCES INC.,CRN,Materials
CORPORATE TRAVEL MANAGEMENT LIMITED,CTD,Consumer Services
CORUM GROUP LIMITED,COO,Software & Services
COSOL LIMITED,COS,Software & Services
COSTA GROUP HOLDINGS LIMITED,CGC,"Food, Beverage & Tobacco"
COUGAR METALS NL,CGM,Materials
COUNTPLUS LIMITED,CUP,Commercial & Professional Services
COUNTY INTERNATIONAL LIMITED,CCJ,Energy
COVENTRY GROUP LIMITED,CYG,Capital Goods
COZIRON RESOURCES LIMITED,CZR,Materials
CPT GLOBAL LIMITED,CGO,Software & Services
CRADLE RESOURCES LIMITED,CXX,Materials
CRATER GOLD MINING LIMITED,CGN,Materials
CREDIT CORP GROUP LIMITED,CCP,Diversified Financials
CREDIT INTELLIGENCE LTD,CI1,Commercial & Professional Services
CRESO PHARMA LIMITED,CPH,"Pharmaceuticals, Biotechnology & Life Sciences"
CROMWELL PROPERTY GROUP,CMW,Real Estate
CRONOS AUSTRALIA LIMITED,CAU,Health Care Equipment & Services
CROPLOGIC LIMITED,CLI,Commercial & Professional Services
CROWD MEDIA HOLDINGS LIMITED,CM8,Media & Entertainment
CROWN RESORTS LIMITED,CWN,Consumer Services
CRUSADE ABS SERIES 2016-1 TRUST,CU1,Not Applic
CRUSADE ABS SERIES 2017-1 TRUST,CU2,Not Applic
CRYOSITE LIMITED,CTE,"Pharmaceuticals, Biotechnology & Life Sciences"
CSL LIMITED,CSL,"Pharmaceuticals, Biotechnology & Life Sciences"
CSR LIMITED,CSR,Materials
CTI LOGISTICS LIMITED,CLX,Transportation
CUE ENERGY RESOURCES LIMITED,CUE,Energy
CULLEN RESOURCES LIMITED,CUL,Materials
CV CHECK LTD,CV1,Software & Services
CVC LIMITED,CVC,Diversified Financials
CYCLIQ GROUP LTD,CYQ,Consumer Durables & Apparel
CYCLOPHARM LIMITED,CYC,Health Care Equipment & Services
CYGNUS GOLD LIMITED,CY5,Materials
CYNATA THERAPEUTICS LIMITED,CYP,"Pharmaceuticals, Biotechnology & Life Sciences"
CYPRIUM METALS LIMITED,CYM,Materials
DACIAN GOLD LIMITED,DCN,Materials
DAMPIER GOLD LIMITED,DAU,Materials
DAMSTRA HOLDINGS LIMITED,DTC,Software & Services
DANAKALI LIMITED,DNK,Materials
DARK HORSE RESOURCES LIMITED,DHR,Materials
DART MINING NL,DTM,Materials
DATA#3 LIMITED,DTL,Software & Services
DATADOT TECHNOLOGY LIMITED,DDT,Automobiles & Components
DATELINE RESOURCES LIMITED,DTR,Materials
DAVENPORT RESOURCES LIMITED,DAV,Materials
DE GREY MINING LIMITED,DEG,Materials
DE.MEM LIMITED,DEM,Utilities
DECMIL GROUP LIMITED,DCG,Capital Goods
DEEP YELLOW LIMITED,DYL,Energy
DELAWARE THIRTEEN LTD,D13,Capital Goods
DELECTA LIMITED,DLC,Retailing
DESANE GROUP HOLDINGS LIMITED,DGH,Real Estate
DEVEX RESOURCES LIMITED,DEV,Energy
DEVINE LIMITED,DVN,Real Estate
DEXUS,DXS,Real Estate
DGO GOLD LIMITED,DGO,Materials
DGR GLOBAL LIMITED,DGR,Materials
DIATREME RESOURCES LIMITED,DRX,Materials
DICKER DATA LIMITED,DDR,Technology Hardware & Equipment
DIGITAL WINE VENTURES LIMITED,DW8,Retailing
DIGITALX LIMITED,DCC,Software & Services
DIMERIX LIMITED,DXB,"Pharmaceuticals, Biotechnology & Life Sciences"
DISCOVERY AFRICA LIMITED,DAF,Materials
DISCOVEX RESOURCES LIMITED,DCX,Materials
DIVERSIFIED UNITED INVESTMENT LIMITED,DUI,Not Applic
DJERRIWARRH INVESTMENTS LIMITED,DJW,Not Applic
DOMACOM LIMITED,DCL,Diversified Financials
DOMAIN HOLDINGS AUSTRALIA LIMITED.,DHG,Media & Entertainment
DOME GOLD MINES LIMITED,DME,Materials
DOMINO'S PIZZA ENTERPRISES LIMITED,DMP,Consumer Services
DONACO INTERNATIONAL LIMITED,DNA,Consumer Services
DONGFANG MODERN AGRICULTURE HOLDING GROUP LIMITED,DFM,"Food, Beverage & Tobacco"
DORIEMUS PLC,DOR,Energy
DORSAVI LTD,DVL,"Pharmaceuticals, Biotechnology & Life Sciences"
DOTZ NANO LIMITED,DTZ,Semiconductors & Semiconductor Equipment
DOWNER EDI LIMITED,DOW,Commercial & Professional Services
DOWNER GROUP FINANCE PTY LIMITED,DGF,Not Applic
DRAGON MOUNTAIN GOLD LIMITED,DMG,Materials
DRAGONTAIL SYSTEMS LIMITED,DTS,Software & Services
DREADNOUGHT RESOURCES LTD,DRE,Materials
DRIVER AUSTRALIA FIVE TRUST,DA1,Not Applic
DRIVER AUSTRALIA FOUR TRUST,DAZ,Not Applic
DRIVER AUSTRALIA MASTER TRUST,DAM,Not Applic
DRIVER AUSTRALIA SIX TRUST,DAS,Not Applic
DRONESHIELD LIMITED,DRO,Capital Goods
DROPSUITE LIMITED,DSE,Software & Services
DTI GROUP LTD,DTI,Technology Hardware & Equipment
DUBBER CORPORATION LIMITED,DUB,Software & Services
DUG TECHNOLOGY LTD,DUG,Class Pend
DUKETON MINING LIMITED,DKM,Materials
DUXTON BROADACRE FARMS LIMITED,DBF,"Food, Beverage & Tobacco"
DUXTON WATER LIMITED,D2O,Utilities
DWS LIMITED,DWS,Software & Services
DXN LIMITED,DXN,Software & Services
DYNAMIC DRILL AND BLAST HOLDINGS LIMITED,DDB,Capital Goods
E2 METALS LIMITED,E2M,Materials
EAGERS AUTOMOTIVE LIMITED,APE,Retailing
EAGLE HEALTH HOLDINGS LIMITED,EHH,Household & Personal Products
EAGLE MOUNTAIN MINING LIMITED,EM2,Materials
EAST ENERGY RESOURCES LIMITED,EER,Energy
EASTERN IRON LIMITED,EFE,Materials
EASTON INVESTMENTS LIMITED,EAS,Diversified Financials
EBOS GROUP LIMITED,EBO,Health Care Equipment & Services
ECARGO HOLDINGS LIMITED,ECG,Commercial & Professional Services
ECLIPSE METALS LIMITED.,EPM,Energy
ECLIPX GROUP LIMITED,ECX,Diversified Financials
ECO SYSTEMS LTD,ESL,Real Estate
ECOFIBRE LIMITED,EOF,"Pharmaceuticals, Biotechnology & Life Sciences"
ECOGRAF LIMITED,EGR,Materials
ECP EMERGING GROWTH LIMITED,ECP,Not Applic
ECS BOTANICS HOLDINGS LTD,ECS,"Pharmaceuticals, Biotechnology & Life Sciences"
EDEN INNOVATIONS LTD,EDE,Energy
EHR RESOURCES LIMITED,EHX,Materials
EILDON CAPITAL GROUP,EDC,Diversified Financials
ELANOR COMMERCIAL PROPERTY FUND,ECF,Real Estate
ELANOR INVESTORS GROUP,ENN,Consumer Services
ELANOR RETAIL PROPERTY FUND,ERF,Real Estate
ELDERS LIMITED,ELD,"Food, Beverage & Tobacco"
ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,EOS,Capital Goods
ELEMENT 25 LIMITED,E25,Materials
ELEMENTOS LIMITED,ELT,Materials
ELIXINOL GLOBAL LIMITED,EXL,Household & Personal Products
ELIXIR ENERGY LIMITED,EXR,Energy
ELLERSTON ASIAN INVESTMENTS LIMITED,EAI,Not Applic
ELLERSTON GLOBAL INVESTMENTS LIMITED,EGI,Not Applic
ELMO SOFTWARE LIMITED,ELO,Software & Services
ELMORE LTD,ELE,Materials
ELSIGHT LIMITED,ELS,Technology Hardware & Equipment
EMBELTON LIMITED,EMB,Capital Goods
EMECO HOLDINGS LIMITED,EHL,Capital Goods
EMERALD CLINICS LIMITED,EMD,Health Care Equipment & Services
EMERALD RESOURCES NL,EMR,Materials
EMERGE GAMING LIMITED,EM1,Media & Entertainment
EMETALS LIMITED,EMT,Not Applic
EMIRATES NBD PJSC,EMI,Not Applic
EML PAYMENTS LIMITED,EML,Software & Services
EMMERSON RESOURCES LIMITED,ERM,Materials
EMPEROR ENERGY LIMITED,EMP,Energy
EMPIRE ENERGY GROUP LIMITED,EEG,Energy
EMPIRE RESOURCES LIMITED,ERL,Materials
EMPIRED LTD,EPD,Software & Services
EMU NL,EMU,Materials
EMVISION MEDICAL DEVICES LTD,EMV,Health Care Equipment & Services
ENCOUNTER RESOURCES LIMITED,ENR,Materials
ENEABBA GAS LIMITED,ENB,Utilities
ENECO REFRESH LTD,ERG,"Food, Beverage & Tobacco"
ENEGEX LIMITED,ENX,Energy
ENERGY ACTION LIMITED,EAX,Commercial & Professional Services
ENERGY METALS LTD,EME,Energy
ENERGY ONE LIMITED,EOL,Software & Services
ENERGY RESOURCES OF AUSTRALIA LIMITED,ERA,Energy
ENERGY TECHNOLOGIES LIMITED,EGY,Capital Goods
ENERGY WORLD CORPORATION LTD,EWC,Utilities
ENERO GROUP LIMITED,EGG,Media & Entertainment
ENEVIS LIMITED,ENE,Capital Goods
ENGAGE:BDR LIMITED,EN1,Media & Entertainment
ENGENCO LIMITED,EGN,Capital Goods
ENNOX GROUP LTD,EXO,Diversified Financials
ENOVA MINING LIMITED,ENV,Materials
ENSURANCE LTD,ENA,Insurance
ENTERPRISE METALS LIMITED,ENT,Materials
ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,ECT,Commercial & Professional Services
ENVIRONMENTAL GROUP LIMITED (THE),EGL,Capital Goods
ENVIROSUITE LIMITED,EVS,Software & Services
EON NRG LIMITED,E2E,Energy
EQT HOLDINGS LIMITED,EQT,Diversified Financials
EQUATORIAL RESOURCES LIMITED,EQX,Materials
EQUUS MINING LIMITED,EQE,Materials
ESENSE-LAB LTD,ESE,"Pharmaceuticals, Biotechnology & Life Sciences"
ESPORTS MOGUL LIMITED,ESH,Media & Entertainment
ESSENTIAL METALS LIMITED,ESS,Materials
ESTIA HEALTH LIMITED,EHE,Health Care Equipment & Services
ESTRELLA RESOURCES LIMITED,ESR,Materials
ETHERSTACK PLC,ESK,Software & Services
EUMUNDI GROUP LIMITED,EBG,Consumer Services
EUREKA GROUP HOLDINGS LIMITED,EGH,Real Estate
EURO MANGANESE INC,EMN,Materials
EUROPEAN COBALT LTD,EUC,Materials
EUROPEAN LITHIUM LIMITED,EUR,Materials
EUROPEAN METALS HOLDINGS LIMITED,EMH,Materials
EUROZ LIMITED,EZL,Diversified Financials
EVANS & PARTNERS ASIA FUND,EAF,Not Applic
EVANS & PARTNERS AUSTRALIAN FLAGSHIP FUND,EFF,Not Applic
EVANS & PARTNERS GLOBAL DISRUPTION FUND,EGD,Not Applic
EVANS & PARTNERS GLOBAL FLAGSHIP FUND,EGF,Not Applic
EVANS DIXON LIMITED,ED1,Diversified Financials
EVE INVESTMENTS LIMITED,EVE,Diversified Financials
EVENT HOSPITALITY AND ENTERTAINMENT LTD,EVT,Media & Entertainment
EVOLUTION MINING LIMITED,EVN,Materials
EVOLVE EDUCATION GROUP LIMITED,EVO,Consumer Services
EVZ LIMITED,EVZ,Capital Goods
EXCELSIOR CAPITAL LTD,ECL,Capital Goods
EXOPHARM LIMITED,EX1,"Pharmaceuticals, Biotechnology & Life Sciences"
EXORE RESOURCES LTD,ERX,Materials
EXPERIENCE CO LIMITED,EXP,Consumer Services
FACTOR THERAPEUTICS LIMITED,FTT,"Pharmaceuticals, Biotechnology & Life Sciences"
FAMILY ZONE CYBER SAFETY LIMITED,FZO,Software & Services
FAR LIMITED,FAR,Energy
FARM PRIDE FOODS LIMITED,FRM,"Food, Beverage & Tobacco"
FARMAFORCE LIMITED,FFC,Health Care Equipment & Services
FASTER ENTERPRISES LTD,FE8,Real Estate
FAT PROPHETS GLOBAL CONTRARIAN FUND LTD,FPC,Not Applic
FAT PROPHETS GLOBAL PROPERTY FUND,FPP,Not Applic
FATFISH BLOCKCHAIN LIMITED,FFG,Diversified Financials
FBR LTD,FBR,Capital Goods
FE INVESTMENTS GROUP LIMITED,FEI,Diversified Financials
FE LIMITED,FEL,Materials
FENIX RESOURCES LTD,FEX,Materials
FERTOZ LIMITED,FTZ,Materials
FFI HOLDINGS LIMITED,FFI,"Food, Beverage & Tobacco"
FIDUCIAN GROUP LIMITED,FID,Diversified Financials
FIELD SOLUTIONS HOLDINGS LIMITED,FSG,Telecommunication Services
FIJI KAVA LIMITED,FIJ,Household & Personal Products
FIN RESOURCES LIMITED,FIN,Materials
FINBAR GROUP LIMITED,FRI,Real Estate
FINEOS CORPORATION HOLDINGS PLC,FCL,Software & Services
FINTECH CHAIN LIMITED,FTC,Software & Services
FIREFLY RESOURCES LIMITED,FFR,Materials
FIRST ABU DHABI BANK PJSC,FA2,Not Applic
FIRST AU LIMITED,FAU,Materials
FIRST GRAPHENE LIMITED,FGR,Materials
FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 1-2020,FM3,Not Applic
FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2019,FM2,Not Applic
FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 3PP-2019,FM4,Not Applic
FIRSTWAVE CLOUD TECHNOLOGY LIMITED,FCT,Software & Services
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FPH,Health Care Equipment & Services
FITZROY RIVER CORPORATION LTD,FZR,Energy
FLAGSHIP INVESTMENTS LIMITED,FSI,Not Applic
FLAMINGO AI LIMITED,FGO,Software & Services
FLEETWOOD CORPORATION LIMITED,FWD,Consumer Durables & Apparel
FLETCHER BUILDING LIMITED,FBU,Materials
FLEXI ABS TRUST 2019-2,FA1,Not Applic
FLEXIGROUP LIMITED,FXL,Diversified Financials
FLEXIROAM LIMITED,FRX,Telecommunication Services
FLIGHT CENTRE TRAVEL GROUP LIMITED,FLT,Consumer Services
FLINDERS MINES LIMITED,FMS,Materials
FLUENCE CORPORATION LIMITED,FLC,Capital Goods
FOCUS MINERALS LTD,FML,Materials
FONTERRA SHAREHOLDERS' FUND,FSF,"Food, Beverage & Tobacco"
FORAGER AUSTRALIAN SHARES FUND,FOR,Not Applic
FORBIDDEN FOODS LIMITED,FFF,Class Pend
FORCE COMMODITIES LIMITED,4CE,Materials
FORTESCUE METALS GROUP LTD,FMG,Materials
FOUNDERS FIRST LIMITED,FFL,"Food, Beverage & Tobacco"
FREEDOM FOODS GROUP LIMITED,FNP,"Food, Beverage & Tobacco"
FREEDOM INSURANCE GROUP LTD,FIG,Insurance
FREEDOM OIL AND GAS LTD,FDM,Energy
FREEHILL MINING LIMITED.,FHS,Materials
FREELANCER LIMITED,FLN,Commercial & Professional Services
FREMONT PETROLEUM CORPORATION LIMITED,FPL,Energy
FRONTIER DIAMONDS LTD,FDX,Materials
FRONTIER DIGITAL VENTURES LIMITED,FDV,Media & Entertainment
FRONTIER RESOURCES LIMITED,FNT,Materials
FRUGL GROUP LIMITED,FGL,Software & Services
FSA GROUP LIMITED,FSA,Diversified Financials
FUNTASTIC LIMITED,FUN,Retailing
FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED,FGG,Not Applic
FUTURE GENERATION INVESTMENT COMPANY LIMITED,FGX,Not Applic
FYI RESOURCES LIMITED,FYI,Materials
G MEDICAL INNOVATIONS HOLDINGS LIMITED,GMV,Health Care Equipment & Services
G.U.D. HOLDINGS LIMITED,GUD,Automobiles & Components
G8 EDUCATION LIMITED,GEM,Consumer Services
GAGE ROADS BREWING CO LIMITED,GRB,"Food, Beverage & Tobacco"
GALAN LITHIUM LIMITED,GLN,Materials
GALAXY RESOURCES LIMITED,GXY,Materials
GALE PACIFIC LIMITED,GAP,Consumer Durables & Apparel
GALENA MINING LIMITED,G1A,Materials
GALILEE ENERGY LIMITED,GLL,Energy
GALILEO MINING LTD,GAL,Materials
GARDA PROPERTY GROUP,GDF,Real Estate
GAS2GRID LIMITED,GGX,Energy
GASCOYNE RESOURCES LIMITED,GCY,Materials
GATEWAY MINING LIMITED,GML,Materials
GBM GOLD LTD,GBM,Materials
GBM RESOURCES LIMITED,GBZ,Materials
GDI PROPERTY GROUP,GDI,Real Estate
GENERATION DEVELOPMENT GROUP LIMITED,GDG,Insurance
GENESIS ENERGY LIMITED,GNE,Utilities
GENESIS MINERALS LIMITED,GMD,Materials
GENESIS RESOURCES LIMITED,GES,Materials
GENETIC SIGNATURES LIMITED,GSS,"Pharmaceuticals, Biotechnology & Life Sciences"
GENETIC TECHNOLOGIES LIMITED,GTG,"Pharmaceuticals, Biotechnology & Life Sciences"
GENEX POWER LIMITED,GNX,Utilities
GENTRACK GROUP LIMITED,GTK,Software & Services
GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED,GMA,Banks
GEOPACIFIC RESOURCES LTD,GPR,Materials
GETSWIFT LIMITED,GSW,Software & Services
GIBB RIVER DIAMONDS LIMITED,GIB,Materials
GLADIATOR RESOURCES LIMITED,GLA,Materials
GLENNON SMALL COMPANIES LIMITED,GC1,Not Applic
GLG CORP LTD,GLE,Consumer Durables & Apparel
GLOBAL ENERGY VENTURES LIMITED,GEV,Energy
GLOBAL HEALTH LIMITED,GLH,Health Care Equipment & Services
GLOBAL MASTERS FUND LIMITED,GFL,Not Applic
GLOBAL OIL & GAS LIMITED,GLV,Energy
GLOBAL VALUE FUND LIMITED,GVF,Not Applic
GLOBE INTERNATIONAL LIMITED,GLB,Consumer Durables & Apparel
GLOBE METALS & MINING LIMITED,GBE,Materials
GME RESOURCES LIMITED,GME,Materials
GODOLPHIN RESOURCES LIMITED,GRL,Materials
GOLD MOUNTAIN LIMITED,GMN,Materials
GOLD ROAD RESOURCES LIMITED,GOR,Materials
GOLDEN CROSS RESOURCES LTD,GCR,Materials
GOLDEN DEEPS LIMITED.,GED,Materials
GOLDEN MILE RESOURCES LTD,G88,Materials
GOLDEN RIM RESOURCES LTD,GMR,Materials
GOLDEN STATE MINING LIMITED,GSM,Materials
GOODMAN GROUP,GMG,Real Estate
GOOROO VENTURES LIMITED,GOO,Software & Services
GOWING BROS LIMITED,GOW,Diversified Financials
GPS ALLIANCE HOLDINGS LIMITED,GPS,Real Estate
GPT GROUP,GPT,Real Estate
GR ENGINEERING SERVICES LIMITED,GNG,Materials
GRAINCORP LIMITED,GNC,"Food, Beverage & Tobacco"
GRAND GULF ENERGY LIMITED,GGE,Energy
GRANGE RESOURCES LIMITED.,GRR,Materials
GRAPHEX MINING LIMITED,GPX,Materials
GREAT BOULDER RESOURCES LIMITED,GBR,Materials
GREAT NORTHERN MINERALS LIMITED,GNM,Materials
GREAT SOUTHERN MINING LIMITED,GSN,Materials
GREAT WESTERN EXPLORATION LIMITED.,GTE,Materials
GREENLAND MINERALS LIMITED,GGG,Materials
GREENVALE MINING LTD,GRV,Energy
GROWTHPOINT PROPERTIES AUSTRALIA,GOZ,Real Estate
GRYPHON CAPITAL INCOME TRUST,GCI,Not Applic
GTI RESOURCES LIMITED,GTR,Materials
GTN LIMITED,GTN,Media & Entertainment
GULF MANGANESE CORPORATION LIMITED,GMC,Materials
GULLEWA LIMITED,GUL,Materials
GWA GROUP LIMITED.,GWA,Capital Goods
GWR GROUP LIMITED,GWR,Materials
HAMMER METALS LIMITED,HMX,Materials
HAMPTON HILL MINING NL,HHM,Materials
HANNANS LTD,HNR,Materials
