name,short_name,field
MOUNT GIBSON IRON LIMITED,MGX,Materials
MOUNT RIDLEY MINES LIMITED,MRD,Materials
MPOWER GROUP LIMITED,MPR,Diversified Financials
MRG METALS LIMITED,MRQ,Materials
MSL SOLUTIONS LIMITED.,MSL,Software & Services
MSM CORPORATION INTERNATIONAL LTD,MSM,Media & Entertainment
MULTISTACK INTERNATIONAL LIMITED,MSI,Capital Goods
MURRAY COD AUSTRALIA LIMITED,MCA,"Food, Beverage & Tobacco"
MURRAY RIVER ORGANICS GROUP LIMITED,MRG,"Food, Beverage & Tobacco"
MUSGRAVE MINERALS LIMITED,MGV,Materials
MUSTERA PROPERTY GROUP LIMITED,MPX,Real Estate
MYANMAR METALS LIMITED,MYL,Materials
MYER HOLDINGS LIMITED,MYR,Retailing
MYFIZIQ LIMITED,MYQ,Software & Services
MYSTATE LIMITED,MYS,Banks
N1 HOLDINGS LIMITED,N1H,Banks
NAGAMBIE RESOURCES LIMITED,NAG,Materials
NAMOI COTTON LIMITED,NAM,Commercial & Professional Services
NANOLLOSE LIMITED,NC6,"Pharmaceuticals, Biotechnology & Life Sciences"
NANOSONICS LIMITED,NAN,Health Care Equipment & Services
NANOVEU LIMITED,NVU,Technology Hardware & Equipment
NAOS EMERGING OPPORTUNITIES COMPANY LIMITED,NCC,Not Applic
NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,NAC,Not Applic
NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,NSC,Not Applic
NATIONAL AUSTRALIA BANK LIMITED,NAB,Banks
NATIONAL HOUSING FINANCE AND INVESTMENT CORPORATION,NFI,Not Applic
NATIONAL RMBS TRUST 2012-2 SERIES 2012-2,NAH,Not Applic
NATIONAL RMBS TRUST 2015-1 SERIES 2015-1,NAJ,Not Applic
NATIONAL RMBS TRUST 2016-1,NRM,Not Applic
NATIONAL RMBS TRUST 2018-1 IN RESPECT OF SERIES 2018-1,NRO,Not Applic
NATIONAL STORAGE REIT,NSR,Real Estate
NATIONAL TYRE & WHEEL LIMITED,NTD,Retailing
NAVARRE MINERALS LIMITED,NML,Materials
NAVIGATOR GLOBAL INVESTMENTS LIMITED,NGI,Diversified Financials
NB GLOBAL CORPORATE INCOME TRUST,NBI,Not Applic
NEARMAP LTD,NEA,Software & Services
NELSON RESOURCES LIMITED.,NES,Materials
NEOMETALS LTD,NMT,Materials
NETCCENTRIC LIMITED,NCL,Media & Entertainment
NETLINKZ LIMITED,NET,Software & Services
NETWEALTH GROUP LIMITED,NWL,Diversified Financials
NEUREN PHARMACEUTICALS LIMITED,NEU,"Pharmaceuticals, Biotechnology & Life Sciences"
NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,NSB,"Pharmaceuticals, Biotechnology & Life Sciences"
NEUROTECH INTERNATIONAL LIMITED,NTI,Health Care Equipment & Services
NEW AGE EXPLORATION LIMITED,NAE,Energy
NEW CENTURY RESOURCES LIMITED,NCZ,Materials
NEW ENERGY MINERALS LTD,NXE,Materials
NEW ENERGY SOLAR,NEW,Utilities
NEW HOPE CORPORATION LIMITED,NHC,Energy
NEW STANDARD ENERGY LIMITED,NSE,Energy
NEW TALISMAN GOLD MINES LIMITED,NTL,Materials
NEW WORLD RESOURCES LIMITED,NWC,Materials
NEW ZEALAND COASTAL SEAFOODS LIMITED,NZS,"Food, Beverage & Tobacco"
NEW ZEALAND KING SALMON INVESTMENTS LIMITED,NZK,"Food, Beverage & Tobacco"
NEWCREST MINING LIMITED,NCM,Materials
NEWFIELD RESOURCES LIMITED,NWF,Materials
NEWS CORPORATION..,NWS,Media & Entertainment
NEX METALS EXPLORATION LIMITED,NME,Materials
NEXT SCIENCE LIMITED,NXS,Health Care Equipment & Services
NEXTDC LIMITED,NXT,Software & Services
NEXUS MINERALS LIMITED,NXM,Materials
NGE CAPITAL LIMITED,NGE,Not Applic
NIB HOLDINGS LIMITED,NHF,Insurance
NICK SCALI LIMITED,NCK,Retailing
NICKEL MINES LIMITED,NIC,Materials
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,NEC,Media & Entertainment
NITRO SOFTWARE LIMITED,NTO,Software & Services
NIUMINCO GROUP LIMITED,NIU,Materials
NORDIC INVESTMENT BANK,NIB,Not Applic
NORTH STAWELL MINERALS LTD,NSM,Class Pend
NORTHERN MINERALS LIMITED,NTU,Materials
NORTHERN STAR RESOURCES LTD,NST,Materials
NORWEST ENERGY NL,NWE,Energy
NORWEST MINERALS LIMITED,NWM,Materials
NORWOOD SYSTEMS LIMITED,NOR,Software & Services
NOVA EYE MEDICAL LIMITED,EYE,Health Care Equipment & Services
NOVA MINERALS LIMITED,NVA,Materials
NOVATTI GROUP LIMITED,NOV,Software & Services
NOVONIX LIMITED,NVX,Technology Hardware & Equipment
NOXOPHARM LIMITED,NOX,"Pharmaceuticals, Biotechnology & Life Sciences"
NRW HOLDINGS LIMITED,NWH,Capital Goods
NSX LIMITED,NSX,Diversified Financials
NTM GOLD LIMITED,NTM,Materials
NUCHEV LIMITED,NUC,"Food, Beverage & Tobacco"
NUCOAL RESOURCES LIMITED,NCR,Materials
NUENERGY GAS LIMITED,NGY,Energy
NUFARM FINANCE (NZ) LIMITED,NFN,Not Applic
NUFARM LIMITED,NUF,Materials
NUHEARA LIMITED,NUH,Technology Hardware & Equipment
NUSANTARA RESOURCES LIMITED,NUS,Materials
NVOI LTD,NVO,Media & Entertainment
NYRADA INC.,NYR,"Pharmaceuticals, Biotechnology & Life Sciences"
NZME LIMITED,NZM,Media & Entertainment
OAKAJEE CORPORATION LIMITED,OKJ,Materials
OAKDALE RESOURCES LIMITED,OAR,Materials
OBJ LIMITED,OBJ,"Pharmaceuticals, Biotechnology & Life Sciences"
OBJECTIVE CORPORATION LIMITED,OCL,Software & Services
OCEAN GROWN ABALONE LIMITED,OGA,"Food, Beverage & Tobacco"
OCEANAGOLD CORPORATION,OGC,Materials
OCEANIA HEALTHCARE LIMITED,OCA,Health Care Equipment & Services
OCTANEX LIMITED,OXX,Energy
ODIN METALS LIMITED,ODM,Materials
ODYSSEY ENERGY LIMITED,ODY,Energy
OFX GROUP LIMITED,OFX,Diversified Financials
OIL SEARCH LIMITED,OSH,Energy
OILEX LTD,OEX,Energy
OKAPI RESOURCES LIMITED,OKR,Materials
OKLO RESOURCES LIMITED,OKU,Materials
OLDFIELDS HOLDINGS LIMITED,OLH,Capital Goods
OLIVER'S REAL FOOD LIMITED,OLI,Consumer Services
OM HOLDINGS LIMITED,OMH,Materials
OMNI BRIDGEWAY LIMITED,OBL,Diversified Financials
ONCOSIL MEDICAL LTD,OSL,"Pharmaceuticals, Biotechnology & Life Sciences"
ONEALL INTERNATIONAL LIMITED,1AL,Consumer Durables & Apparel
ONEVIEW HEALTHCARE PLC,ONE,Health Care Equipment & Services
ONEVUE HOLDINGS LIMITED,OVH,Diversified Financials
OOH!MEDIA LIMITED,OML,Media & Entertainment
OOKAMI LIMITED,OOK,Software & Services
OPENLEARNING LIMITED,OLL,Software & Services
OPENPAY GROUP LTD,OPY,Diversified Financials
OPHIR HIGH CONVICTION FUND,OPH,Not Applic
OPTHEA LIMITED,OPT,"Pharmaceuticals, Biotechnology & Life Sciences"
OPTICOMM LTD,OPC,Telecommunication Services
OPTISCAN IMAGING LIMITED,OIL,Health Care Equipment & Services
OPYL LIMITED,OPL,Software & Services
ORA BANDA MINING LTD,OBM,Materials
ORA GOLD LIMITED,OAU,Materials
ORBITAL CORPORATION LIMITED,OEC,Capital Goods
ORCODA LIMITED,ODA,Software & Services
ORDINARY (UNLISTED/LISTED - COSACS),ZOR,Not Applic
ORECORP LIMITED,ORR,Materials
ORICA LIMITED,ORI,Materials
ORIGIN ENERGY LIMITED,ORG,Energy
ORION EQUITIES LIMITED,OEQ,Diversified Financials
ORION METALS LIMITED,ORM,Materials
ORION MINERALS LTD,ORN,Materials
ORMINEX LTD,ONX,Materials
OROCOBRE LIMITED,ORE,Materials
ORORA LIMITED,ORA,Materials
ORTHOCELL LIMITED,OCC,"Pharmaceuticals, Biotechnology & Life Sciences"
OSPREY MEDICAL INC,OSP,Health Care Equipment & Services
OSTEOPORE LIMITED,OSX,Health Care Equipment & Services
OTTO ENERGY LIMITED,OEL,Energy
OVATO LIMITED,OVT,Commercial & Professional Services
OVENTUS MEDICAL LIMITED,OVN,Health Care Equipment & Services
OVER THE WIRE HOLDINGS LIMITED,OTW,Software & Services
OZ MINERALS LIMITED,OZL,Materials
OZGROWTH LIMITED,OZG,Not Applic
P2P TRANSPORT LIMITED,P2P,Transportation
PACIFIC AMERICAN HOLDINGS LIMITED,PAK,Materials
PACIFIC BAUXITE LIMITED,PBX,Materials
PACIFIC CURRENT GROUP LIMITED,PAC,Diversified Financials
PACIFIC SMILES GROUP LIMITED,PSQ,Health Care Equipment & Services
PACIFIC STAR NETWORK LIMITED,PNW,Media & Entertainment
PACIFICO MINERALS LIMITED,PMY,Materials
PACT GROUP HOLDINGS LTD,PGH,Materials
PAINCHEK LTD,PCK,Health Care Equipment & Services
PALADIN ENERGY LTD,PDN,Energy
PALLA PHARMA LIMITED,PAL,"Pharmaceuticals, Biotechnology & Life Sciences"
PAN ASIA METALS LIMITED,PAM,Class Pend
PANCONTINENTAL OIL & GAS NL,PCL,Energy
PANORAMIC RESOURCES LIMITED,PAN,Materials
PANTERRA GOLD LIMITED,PGI,Materials
PANTORO LIMITED,PNR,Materials
PAPYRUS AUSTRALIA LIMITED,PPY,Materials
PARADIGM BIOPHARMACEUTICALS LIMITED..,PAR,"Pharmaceuticals, Biotechnology & Life Sciences"
PARAGON CARE LIMITED,PGC,Health Care Equipment & Services
PARAZERO LIMITED,PRZ,Technology Hardware & Equipment
PARINGA RESOURCES LIMITED,PNL,Energy
PARKD LTD,PKD,Commercial & Professional Services
PARKWAY MINERALS NL,PWN,Materials
PARTNERS GROUP GLOBAL INCOME FUND,PGG,Not Applic
PATERSON RESOURCES LTD,PSL,Materials
PATRYS LIMITED,PAB,"Pharmaceuticals, Biotechnology & Life Sciences"
PAYGROUP LIMITED,PYG,Software & Services
PEAK MINERALS LIMITED,PUA,Materials
PEAK RESOURCES LIMITED,PEK,Materials
PEAKO LIMITED,PKO,Energy
PEARL GLOBAL LIMITED,PG1,Commercial & Professional Services
PEEL MINING LIMITED,PEX,Materials
PEET LIMITED,PPC,Real Estate
PELICAN RESOURCES LIMITED,PEL,Materials
PENDAL GROUP LIMITED,PDL,Diversified Financials
PENGANA CAPITAL GROUP LIMITED,PCG,Diversified Financials
PENGANA INTERNATIONAL EQUITIES LIMITED,PIA,Not Applic
PENGANA PRIVATE EQUITY TRUST,PE1,Not Applic
PENINSULA ENERGY LIMITED,PEN,Energy
PENSANA RARE EARTHS PLC,PM8,Materials
PENTAL LIMITED,PTL,Household & Personal Products
PEOPLE INFRASTRUCTURE LTD,PPE,Commercial & Professional Services
PEPINNINI LITHIUM LIMITED,PNN,Materials
PEPPER I-PRIME 2017-3 TRUST,PEP,Not Applic
PEPPER RESIDENTIAL SECURITIES TRUST NO 22,PEU,Not Applic
PEPPER RESIDENTIAL SECURITIES TRUST NO. 20,PER,Not Applic
PEPPER RESIDENTIAL SECURITIES TRUST NO. 21,PES,Not Applic
PEPPER RESIDENTIAL SECURITIES TRUST NO. 23,PU1,Not Applic
PEPPER SPARKZ TRUST NO. 2,PU3,Not Applic
PEPPER SPARKZ TRUST NO.1,PUS,Not Applic
PEPPERMINT INNOVATION LIMITED,PIL,Software & Services
PERENTI GLOBAL LIMITED,PRN,Materials
PERPETUAL CREDIT INCOME TRUST,PCI,Not Applic
PERPETUAL EQUITY INVESTMENT COMPANY LIMITED,PIC,Not Applic
PERPETUAL LIMITED,PPT,Diversified Financials
PERPETUAL RESOURCES LIMITED,PEC,Materials
PERSEUS MINING LIMITED,PRU,Materials
PETRATHERM LTD,PTR,Materials
PETSEC ENERGY LIMITED,PSA,Energy
PHARMAUST LIMITED,PAA,"Pharmaceuticals, Biotechnology & Life Sciences"
PHARMAXIS LTD,PXS,"Pharmaceuticals, Biotechnology & Life Sciences"
PHOSLOCK ENVIRONMENTAL TECHNOLOGIES LIMITED,PET,Commercial & Professional Services
PIEDMONT LITHIUM LTD,PLL,Materials
PILBARA MINERALS LIMITED,PLS,Materials
PILOT ENERGY LIMITED,PGY,Energy
PINCHME.COM INC.,PIN,Commercial & Professional Services
PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,PNI,Diversified Financials
PIONEER CREDIT LIMITED,PNC,Diversified Financials
PIVOTAL SYSTEMS CORPORATION,PVS,Semiconductors & Semiconductor Equipment
PKS HOLDINGS LIMITED,PKS,Health Care Equipment & Services
PLACES FOR PEOPLE TREASURY PLC,PPZ,Not Applic
PLATINA RESOURCES LIMITED,PGM,Materials
PLATINUM ASIA INVESTMENTS LIMITED,PAI,Not Applic
PLATINUM ASSET MANAGEMENT LIMITED,PTM,Diversified Financials
PLATINUM CAPITAL LIMITED,PMC,Not Applic
PLATO INCOME MAXIMISER LIMITED.,PL8,Not Applic
PLC FINANCIAL SOLUTIONS LIMITED,PLC,Diversified Financials
PM CAPITAL ASIAN OPPORTUNITIES FUND LIMITED,PAF,Not Applic
PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED,PGF,Not Applic
PNX METALS LIMITED,PNX,Materials
PO VALLEY ENERGY LIMITED,PVE,Energy
PODIUM MINERALS LIMITED,POD,Materials
POINTERRA LIMITED,3DP,Software & Services
POINTSBET HOLDINGS LIMITED,PBH,Consumer Services
POLARX LIMITED,PXX,Materials
POLYNOVO LIMITED,PNV,Health Care Equipment & Services
POSEIDON NICKEL LIMITED,POS,Materials
POWERHOUSE VENTURES LIMITED,PVL,Diversified Financials
POWERWRAP LIMITED,PWL,Diversified Financials
PPK GROUP LIMITED,PPK,Capital Goods
PRAEMIUM LIMITED,PPS,Software & Services
PRAIRIE MINING LIMITED,PDZ,Materials
PREDICTIVE DISCOVERY LIMITED,PDI,Materials
PREMIER INVESTMENTS LIMITED,PMV,Retailing
PRESCIENT THERAPEUTICS LIMITED,PTX,"Pharmaceuticals, Biotechnology & Life Sciences"
PRIME FINANCIAL GROUP LIMITED,PFG,Diversified Financials
PRIME MEDIA GROUP LIMITED,PRT,Media & Entertainment
PRIMERO GROUP LIMITED,PGX,Capital Goods
PRIMEWEST,PWG,Diversified Financials
PRO MEDICUS LIMITED,PME,Health Care Equipment & Services
PRO-PAC PACKAGING LIMITED,PPG,Materials
PROBIOTEC LIMITED,PBP,"Pharmaceuticals, Biotechnology & Life Sciences"
PRODIGY GOLD NL,PRX,Materials
PROGRESS 2017-2 TRUST,POT,Not Applic
PROGRESS 2018-1 TRUST,POV,Not Applic
PROGRESS 2019-1 TRUST,POX,Not Applic
PROMINENCE ENERGY NL,PRM,Energy
PROPEL FUNERAL PARTNERS LIMITED,PFP,Consumer Services
PROPERTY CONNECT HOLDINGS LIMITED,PCH,Media & Entertainment
PROPHECY INTERNATIONAL HOLDINGS LIMITED,PRO,Software & Services
PROSPA GROUP LIMITED.,PGL,Diversified Financials
PROSPECT RESOURCES LIMITED,PSC,Materials
PROTEAN ENERGY LIMITED,POW,Capital Goods
PROTEOMICS INTERNATIONAL LABORATORIES LTD,PIQ,"Pharmaceuticals, Biotechnology & Life Sciences"
PS&C LIMITED,PSZ,Commercial & Professional Services
PSC INSURANCE GROUP LIMITED,PSI,Insurance
PTB GROUP LIMITED,PTB,Capital Goods
PUMA MASTERFUND P-16,PUB,Not Applic
PUMA SERIES 2013-1,PUJ,Not Applic
PUMA SERIES 2014-1,PUK,Not Applic
PUMA SERIES 2014-2,PUO,Not Applic
PUMA SERIES 2014-4P,PUQ,Not Applic
PUMA SERIES 2015-1,PUU,Not Applic
PUMA SERIES 2015-3,PUV,Not Applic
PUMA SERIES 2017-1,PUZ,Not Applic
PUMA SERIES 2019-1,PU2,Not Applic
PURE FOODS TASMANIA LIMITED,PFT,"Food, Beverage & Tobacco"
PURE MINERALS LIMITED,PM1,Materials
PUREPROFILE LTD,PPL,Media & Entertainment
PURIFLOH LIMITED,PO3,Utilities
PURSUIT MINERALS LTD,PUR,Materials
PUSHPAY HOLDINGS LIMITED,PPH,Software & Services
PWR HOLDINGS LIMITED,PWH,Automobiles & Components
PYC THERAPEUTICS LIMITED,PYC,"Pharmaceuticals, Biotechnology & Life Sciences"
PYROLYX AG,PLX,Materials
Q TECHNOLOGY GROUP LIMITED,QTG,Technology Hardware & Equipment
QANTAS AIRWAYS LIMITED,QAN,Transportation
QANTM INTELLECTUAL PROPERTY LIMITED,QIP,Commercial & Professional Services
QBE INSURANCE GROUP LIMITED,QBE,Insurance
QEM LIMITED,QEM,Materials
QNB FINANCE LTD,QNB,Not Applic
QUALITAS REAL ESTATE INCOME FUND,QRI,Not Applic
QUANTIFY TECHNOLOGY HOLDINGS LIMITED,QFY,Technology Hardware & Equipment
QUANTUM GRAPHITE LIMITED,QGL,Materials
QUANTUM HEALTH GROUP LIMITED,QTM,Health Care Equipment & Services
QUATTRO PLUS REAL ESTATE,QPR,Real Estate
QUBE HOLDINGS LIMITED,QUB,Transportation
QUEBEC,QBC,Not Applic
QUEENSLAND TREASURY CORPORATION,XQL,Not Applic
QUESTE COMMUNICATIONS LIMITED,QUE,Diversified Financials
QUESTUS LIMITED,QSS,Real Estate
QUICKFEE LIMITED,QFE,Diversified Financials
QUICKSTEP HOLDINGS LIMITED,QHL,Capital Goods
QV EQUITIES LIMITED,QVE,Not Applic
R3D GLOBAL LIMITED,R3D,Media & Entertainment
RACE ONCOLOGY LTD,RAC,"Pharmaceuticals, Biotechnology & Life Sciences"
RAFAELLA RESOURCES LTD.,RFR,Materials
RAGNAR METALS LIMITED,RAG,Materials
RAIDEN RESOURCES LIMITED,RDN,Materials
RAIZ INVEST LIMITED,RZI,Diversified Financials
RAMELIUS RESOURCES LIMITED,RMS,Materials
RAMSAY HEALTH CARE LIMITED,RHC,Health Care Equipment & Services
RAND MINING LIMITED,RND,Materials
RANGE INTERNATIONAL LIMITED,RAN,Materials
RAPTIS GROUP LIMITED,RPG,Real Estate
RAREX LIMITED,REE,Materials
RBR GROUP LIMITED,RBR,Materials
REA GROUP LTD,REA,Media & Entertainment
READCLOUD LIMITED,RCL,Software & Services
READYTECH HOLDINGS LIMITED,RDY,Software & Services
REAL ENERGY CORPORATION LIMITED,RLE,Energy
REAL ESTATE INVESTAR GROUP LIMITED,REV,Media & Entertainment
RECCE PHARMACEUTICALS LTD,RCE,"Pharmaceuticals, Biotechnology & Life Sciences"
RECKON LIMITED,RKN,Software & Services
RECTIFIER TECHNOLOGIES LTD,RFT,Capital Goods
RED 5 LIMITED,RED,Materials
RED EMPEROR RESOURCES NL,RMP,Energy
RED HILL IRON LIMITED,RHI,Materials
RED METAL LIMITED,RDM,Materials
RED MOUNTAIN MINING LIMITED,RMX,Materials
RED RIVER RESOURCES LIMITED,RVR,Materials
RED SKY ENERGY LIMITED.,ROG,Energy
REDBANK COPPER LIMITED,RCP,Materials
REDBUBBLE LIMITED,RBL,Retailing
REDCAPE HOTEL GROUP,RDC,Consumer Services
REDFLEX HOLDINGS LIMITED,RDF,Technology Hardware & Equipment
REDFLOW LIMITED,RFX,Capital Goods
REDHILL EDUCATION LIMITED,RDH,Consumer Services
REDSTONE RESOURCES LIMITED,RDS,Materials
REECE LIMITED,REH,Capital Goods
REEDY LAGOON CORPORATION LIMITED,RLC,Materials
REEF CASINO TRUST,RCT,Consumer Services
REFFIND LIMITED,RFN,Software & Services
REGAL INVESTMENT FUND,RF1,Not Applic
REGENEUS LTD,RGS,"Pharmaceuticals, Biotechnology & Life Sciences"
REGIONAL EXPRESS HOLDINGS LIMITED,REX,Transportation
REGIS HEALTHCARE LIMITED,REG,Health Care Equipment & Services
REGIS RESOURCES LIMITED,RRL,Materials
REGISTRY DIRECT LIMITED,RD1,Software & Services
RELIANCE WORLDWIDE CORPORATION LIMITED,RWC,Capital Goods
RENASCOR RESOURCES LIMITED,RNU,Energy
RENEGADE EXPLORATION LIMITED,RNX,Materials
RENERGEN LIMITED,RLT,Energy
RENT.COM.AU LIMITED,RNT,Media & Entertainment
RENU ENERGY LIMITED,RNE,Utilities
RESA GROUP LIMITED,RE1,Real Estate
RESAPP HEALTH LIMITED,RAP,Health Care Equipment & Services
RESIMAC BASTILLE TRUST IN RESPECT OF RESIMAC SERIES 2018-1NC,RTD,Not Applic
RESIMAC BASTILLE TRUST SERIES 2017-1NC,RT9,Not Applic
RESIMAC GROUP LTD,RMC,Banks
RESIMAC TRIOMPHE TRUST PREMIER 2017-2,RTC,Not Applic
"RESIMAC TRIOMPHE TRUST, RESIMAC PREMIER SERIES 2018-1",RT1,Not Applic
RESMED INC,RMD,Health Care Equipment & Services
RESOLUTE MINING LIMITED,RSG,Materials
RESOLUTION MINERALS LTD,RML,Materials
RESONANCE HEALTH LIMITED,RHT,Health Care Equipment & Services
RESOURCE BASE LIMITED,RBX,Materials
RESOURCE DEVELOPMENT GROUP LIMITED,RDG,Materials
RESOURCE GENERATION LIMITED,RES,Energy
RESOURCE MINING CORPORATION LIMITED,RMI,Materials
RESOURCES & ENERGY GROUP LIMITED,REZ,Materials
RESPIRI LIMITED,RSH,Health Care Equipment & Services
RESTAURANT BRANDS NEW ZEALAND LIMITED,RBD,Consumer Services
RETAIL FOOD GROUP LIMITED,RFG,Consumer Services
"RETECH TECHNOLOGY CO., LIMITED",RTE,Consumer Services
REVASUM INC.,RVS,Semiconductors & Semiconductor Equipment
REVERSE CORP LIMITED,REF,Telecommunication Services
REWARD MINERALS LTD,RWD,Materials
REWARDLE HOLDINGS LIMITED,RXH,Media & Entertainment
REX MINERALS LIMITED,RXM,Materials
REY RESOURCES LIMITED,REY,Energy
RHINOMED LIMITED,RNO,"Pharmaceuticals, Biotechnology & Life Sciences"
RHIPE LIMITED,RHP,Software & Services
RHYTHM BIOSCIENCES LIMITED,RHY,Health Care Equipment & Services
RICEGROWERS LIMITED,SGL,"Food, Beverage & Tobacco"
RIDLEY CORPORATION LIMITED,RIC,"Food, Beverage & Tobacco"
RIEDEL RESOURCES LIMITED,RIE,Materials
RIGHTCROWD LIMITED,RCW,Software & Services
RIMFIRE PACIFIC MINING NL,RIM,Materials
RIO TINTO LIMITED,RIO,Materials
RIVERSGOLD LIMITED,RGL,Materials
RMA ENERGY LIMITED,RMT,Materials
RMA GLOBAL LIMITED,RMY,Media & Entertainment
RMG LIMITED,RMG,Materials
RNY PROPERTY TRUST,RNY,Real Estate
ROOLIFE GROUP LTD,RLG,Media & Entertainment
ROOTS SUSTAINABLE AGRICULTURAL TECHNOLOGIES LTD,ROO,Capital Goods
ROTO-GRO INTERNATIONAL LIMITED,RGI,Capital Goods
ROX RESOURCES LIMITED,RXL,Materials
RPM AUTOMOTIVE GROUP LIMITED,RPM,Automobiles & Components
RPMGLOBAL HOLDINGS LIMITED,RUL,Software & Services
RTG MINING INC.,RTG,Materials
RUMBLE RESOURCES LIMITED,RTR,Materials
RURAL FUNDS GROUP,RFF,Real Estate
RXP SERVICES LIMITED,RXP,Software & Services
RYDER CAPITAL LIMITED,RYD,Not Applic
S2 RESOURCES LTD,S2R,Materials
SABRE RESOURCES LIMITED,SBR,Materials
SACGASCO LIMITED,SGC,Energy
SAFEROADS HOLDINGS LIMITED,SRH,Transportation
SAGALIO ENERGY LIMITED,SAN,Energy
SALMAT LIMITED,SLM,Media & Entertainment
SALT LAKE POTASH LIMITED,SO4,Materials
SANDFIRE RESOURCES LIMITED,SFR,Materials
SANDON CAPITAL INVESTMENTS LIMITED,SNC,Not Applic
SANTA FE MINERALS LTD,SFM,Materials
SANTANA MINERALS LIMITED,SMI,Materials
SANTOS FINANCE LIMITED,SFV,Not Applic
SANTOS LIMITED,STO,Energy
SAPPHIRE XXI SERIES 2019-1 TRUST,SPW,Not Applic
SARACEN MINERAL HOLDINGS LIMITED,SAR,Materials
SATURN METALS LIMITED,STN,Materials
SAUNDERS INTERNATIONAL LIMITED,SND,Capital Goods
